date,pm25,source,n_sensors,fire_count,wind_speed_mean,wind_speed_min,temp_mean,temp_min,rh_mean,pressure_mean,precip_sum,blh_min,blh_mean
2022-07-04,19.0,openaq,2,,21.9,16.9,21.85,20.3,85.42,907.67,1.7,,
2022-07-05,21.4,openaq,2,,20.45,16.8,21.36,19.8,88.62,906.74,10.3,,
2022-07-06,24.5,openaq,2,,18.68,12.3,21.62,19.7,87.46,908.05,3.6,,
2022-07-07,23.8,openaq,2,,18.8,14.9,21.32,19.8,89.79,909.87,15.2,,
2022-07-08,30.6,openaq,2,,22.68,16.9,22.13,19.6,82.08,909.12,1.4,,
2022-07-09,38.4,openaq,2,,20.7,16.9,21.03,19.5,89.58,907.48,11.4,,
2022-07-10,36.7,openaq,2,,20.91,15.5,21.47,19.5,87.54,907.84,4.1,,
2022-07-11,37.0,openaq,2,,21.61,15.7,20.98,19.3,88.83,909.62,5.0,,
2022-07-12,39.5,openaq,2,,24.14,18.2,22.08,19.0,80.12,909.34,0.9,,
2022-07-13,36.5,openaq,2,,25.13,19.6,21.81,19.7,81.58,907.33,3.3,,
2022-07-14,35.8,openaq,2,,25.7,20.1,22.1,19.6,78.96,906.24,5.3,,
2022-07-15,37.4,openaq,2,,23.2,18.2,22.78,19.7,76.54,907.34,1.7,,
2022-07-16,36.8,openaq,2,,19.75,12.8,22.36,19.7,83.38,908.36,7.2,,
2022-07-17,35.0,openaq,2,,18.27,11.3,22.59,19.8,83.54,908.81,5.0,,
2022-07-18,30.0,openaq,1,,14.55,7.9,22.15,20.1,87.0,909.4,5.0,,
2022-07-19,39.0,openaq,2,,11.4,4.9,22.51,18.9,83.83,909.59,1.8,,
2022-07-20,42.5,openaq,2,,8.65,2.1,23.08,19.8,83.71,909.65,18.6,,
2022-07-21,39.1,openaq,2,,10.63,4.4,22.84,20.0,84.33,909.6,10.0,,
2022-07-22,43.0,openaq,2,,11.02,7.0,22.44,20.0,84.92,909.79,12.9,,
2022-07-23,39.5,openaq,2,,13.74,8.9,22.02,19.3,84.62,909.05,1.6,,
2022-07-24,38.3,openaq,2,,14.67,5.0,22.15,18.7,82.21,909.27,1.7,,
2022-07-25,38.5,openaq,2,,12.23,6.0,22.84,18.7,77.33,910.11,0.3,,
2022-07-27,40.3,openaq,2,,6.73,1.8,22.36,18.3,82.83,910.04,5.6,,
2022-07-28,47.7,openaq,2,,4.88,0.7,22.58,19.1,84.92,910.48,4.9,,
2022-07-29,48.6,openaq,2,,5.6,2.0,22.94,18.7,84.04,910.17,5.0,,
2022-07-30,26.3,openaq,2,,5.91,0.8,23.0,18.9,83.29,909.44,12.7,,
2022-07-31,21.4,openaq,2,,7.23,0.5,22.92,19.3,85.21,907.97,9.9,,
2022-08-01,25.7,openaq,2,,7.8,2.3,22.69,19.9,86.33,907.71,39.6,,
2022-08-02,26.3,openaq,2,,8.74,1.5,22.55,19.7,85.83,906.46,25.0,,
2022-08-03,29.9,openaq,1,,6.25,1.0,21.74,19.2,89.17,905.98,17.7,,
2022-08-04,10.6,cams,0,,8.95,4.1,21.6,19.7,90.17,906.33,17.6,,
2022-08-05,4.3,cams,0,,22.7,19.1,20.84,19.7,91.25,907.05,24.2,,
2022-08-06,5.0,cams,0,,22.89,16.2,21.53,19.6,86.33,906.8,5.2,,
2022-08-07,5.4,cams,0,,21.59,16.6,21.53,20.0,87.92,906.12,5.2,,
2022-08-08,3.9,cams,0,,23.8,17.8,21.97,19.8,83.96,905.93,3.7,,
2022-08-09,4.5,cams,0,,26.13,17.3,22.37,19.9,76.83,906.23,0.9,,
2022-08-10,5.4,cams,0,,25.48,18.6,22.23,19.4,77.54,906.34,2.5,,
2022-08-11,5.1,cams,0,,23.8,17.0,22.51,19.4,77.17,907.82,1.7,,
2022-08-12,5.6,cams,0,,20.78,12.8,22.78,20.0,77.04,909.15,1.0,,
2022-08-13,6.9,cams,0,,17.0,12.2,22.57,19.2,77.75,909.59,0.5,,
2022-08-14,9.5,cams,0,,16.17,7.6,22.2,18.7,76.96,910.32,0.0,,
2022-08-15,11.3,cams,0,,11.89,5.4,22.55,18.3,78.21,910.67,0.0,,
2022-08-16,17.7,cams,0,,7.54,3.4,23.02,18.6,77.71,910.53,0.3,,
2022-08-17,23.8,cams,0,,7.74,3.1,23.41,18.6,76.33,910.74,0.2,,
2022-08-18,13.8,cams,0,,12.03,7.1,23.37,19.3,77.79,910.44,0.9,,
2022-08-19,11.8,cams,0,,13.37,8.3,23.07,19.9,80.04,910.31,0.3,,
2022-08-20,9.6,cams,0,,13.31,9.6,22.95,19.1,77.54,910.29,0.3,,
2022-08-21,7.3,cams,0,,13.45,10.2,22.28,19.3,85.25,909.6,3.6,,
2022-08-22,6.5,cams,0,,16.4,12.0,22.16,19.4,84.5,909.06,4.4,,
2022-08-23,6.8,cams,0,,15.46,10.5,22.12,19.3,84.62,909.56,3.2,,
2022-08-24,8.9,cams,0,,13.18,7.0,21.37,19.2,87.38,910.94,8.0,,
2022-08-25,8.9,cams,0,,12.25,2.8,21.77,19.2,86.75,909.6,9.3,,
2022-08-26,13.7,cams,0,,10.39,3.6,21.79,19.1,87.46,909.11,20.2,,
2022-08-27,13.7,cams,0,,10.66,6.9,21.72,19.4,88.17,909.14,16.7,,
2022-08-28,13.1,cams,0,,10.8,4.1,22.13,19.3,86.0,908.84,4.2,,
2022-08-29,20.8,cams,0,,7.19,1.5,22.14,19.2,87.33,909.45,17.3,,
2022-08-30,22.0,cams,0,,7.7,1.1,22.72,19.3,84.67,909.65,9.3,,
2022-08-31,18.0,cams,0,,7.91,4.3,22.3,19.5,86.42,909.31,5.2,,
2022-09-01,31.6,cams,0,,6.16,2.5,21.94,19.5,88.96,909.21,12.5,,
2022-09-02,23.5,cams,0,,7.85,4.2,22.69,19.1,81.54,909.69,1.4,,
2022-09-03,27.7,cams,0,,4.42,1.1,23.06,19.0,83.33,909.96,1.6,,
2022-09-04,20.1,cams,0,,6.33,3.1,23.14,19.0,84.25,909.67,11.8,,
2022-09-05,19.8,cams,0,,7.07,2.9,22.62,19.3,86.46,909.4,5.8,,
2022-09-06,15.2,cams,0,,5.85,1.8,22.04,18.3,88.29,908.77,12.7,,
2022-09-07,8.3,cams,0,,12.25,7.9,21.88,19.8,89.58,909.07,8.1,,
2022-09-08,7.0,cams,0,,15.23,8.0,21.12,19.6,92.04,908.79,7.3,,
2022-09-09,6.0,cams,0,,16.25,11.6,22.06,19.4,87.29,908.58,3.0,,
2022-09-10,4.9,cams,0,,18.66,15.3,21.93,19.9,87.67,908.6,8.9,,
2022-09-11,4.8,cams,0,,22.36,16.8,22.56,19.5,82.12,908.2,2.6,,
2022-09-12,5.4,cams,0,,22.18,13.1,22.57,19.5,79.33,908.3,0.8,,
2022-09-13,8.0,cams,0,,16.67,8.4,22.2,18.6,83.67,910.13,1.2,,
2022-09-14,20.3,openaq,1,,13.36,6.8,22.15,19.4,85.71,912.07,1.2,,
2022-09-15,20.4,openaq,1,,12.91,7.1,22.01,18.7,83.54,912.78,0.8,,
