date,pm25,source,n_sensors,fire_count,wind_speed_mean,wind_speed_min,temp_mean,temp_min,rh_mean,pressure_mean,precip_sum,blh_min,blh_mean
2022-08-04,43.6,cams,0,,8.07,3.4,28.11,26.4,85.38,978.61,1.7,,
2022-08-05,43.9,cams,0,,8.27,2.8,27.64,24.6,85.88,977.21,5.7,,
2022-08-06,73.7,cams,0,,3.87,1.5,28.68,25.6,83.33,975.24,1.9,,
2022-08-07,42.2,cams,0,,7.71,1.0,27.77,25.2,85.42,975.28,18.6,,
2022-08-08,52.7,cams,0,,5.88,3.8,29.07,24.8,80.33,975.01,0.2,,
2022-08-09,59.8,cams,0,,9.71,4.6,30.37,27.4,76.67,974.77,0.4,,
2022-08-10,46.5,cams,0,,10.6,5.1,30.89,27.6,71.88,973.24,0.4,,
2022-08-11,27.4,cams,0,,17.26,10.3,27.8,26.6,81.67,975.48,3.8,,
2022-08-12,31.6,cams,0,,15.78,7.4,29.32,25.2,72.46,975.33,0.2,,
2022-08-13,32.7,cams,0,,13.41,4.3,29.44,26.3,75.25,975.16,0.8,,
2022-08-14,53.3,cams,0,,7.28,0.8,27.92,26.2,85.38,977.73,5.5,,
2022-08-15,37.1,cams,0,,11.17,4.2,27.9,25.6,82.17,978.92,1.6,,
2022-08-16,24.1,cams,0,,22.28,10.1,27.41,25.4,79.42,977.42,8.4,,
2022-08-17,26.4,cams,0,,16.4,5.0,28.35,25.2,75.33,978.51,0.3,,
2022-08-18,41.4,cams,0,,9.1,4.8,29.24,25.5,72.58,977.74,0.8,,
2022-08-19,24.1,cams,0,,12.8,2.6,29.95,26.6,70.67,977.64,0.5,,
2022-08-20,34.8,cams,0,,6.58,2.3,27.79,24.6,80.96,978.92,6.8,,
2022-08-21,43.4,cams,0,,6.75,1.3,29.39,25.6,76.46,977.07,0.3,,
2022-08-22,41.4,cams,0,,9.9,2.5,29.19,25.8,76.62,975.25,6.5,,
2022-08-23,26.1,cams,0,,22.56,14.4,29.33,25.9,71.08,976.7,1.2,,
2022-08-24,30.7,cams,0,,13.01,8.0,28.37,25.8,75.92,980.78,0.7,,
2022-08-25,57.8,cams,0,,4.99,2.4,29.11,25.1,73.29,980.17,0.5,,
2022-08-26,53.0,cams,0,,10.89,3.3,30.19,26.5,65.25,979.5,0.5,,
2022-08-27,36.8,cams,0,,16.43,10.8,30.66,27.6,60.88,978.68,1.2,,
2022-08-28,37.8,cams,0,,15.37,8.1,31.0,27.5,55.46,979.17,0.1,,
2022-08-29,57.2,cams,0,,8.21,3.1,30.15,27.2,60.92,982.93,0.6,,
2022-08-30,84.5,cams,0,14.0,5.79,2.6,30.55,26.3,67.54,983.37,0.0,,
2022-08-31,53.4,cams,0,4.0,9.32,5.9,31.39,27.7,61.33,980.79,0.2,,
2022-09-01,65.7,cams,0,3.0,8.78,5.7,31.85,27.8,60.29,980.72,0.5,,
2022-09-02,71.0,cams,0,5.0,6.81,2.6,31.88,27.4,57.79,981.9,0.0,,
2022-09-03,51.6,cams,0,8.0,12.59,4.3,32.04,27.5,51.42,979.45,0.0,,
2022-09-04,39.5,cams,0,29.0,15.25,12.0,32.08,27.7,51.25,978.32,0.0,,
2022-09-05,43.6,cams,0,10.0,9.42,4.7,31.45,27.0,52.79,980.05,0.0,,
2022-09-06,91.5,cams,0,6.0,7.06,3.7,31.73,27.1,52.5,981.25,0.0,,
2022-09-07,79.8,cams,0,11.0,7.43,4.7,31.99,27.2,52.54,982.98,0.0,,
2022-09-08,87.4,cams,0,10.0,6.48,3.7,31.83,26.6,53.25,983.73,0.0,,
2022-09-09,101.1,cams,0,29.0,8.02,1.1,31.57,27.7,62.71,983.32,0.2,,
2022-09-10,64.9,cams,0,37.0,9.35,5.0,30.18,24.8,68.96,982.49,3.1,,
2022-09-11,46.2,cams,0,5.0,10.1,4.3,29.7,24.5,68.04,980.46,3.7,,
