date,pm25,source,n_sensors,fire_count,wind_speed_mean,wind_speed_min,temp_mean,temp_min,rh_mean,pressure_mean,precip_sum,blh_min,blh_mean
2022-07-04,12.0,openaq,3,,15.89,9.3,26.03,25.1,89.42,1001.6,28.2,,
2022-07-05,11.0,openaq,3,,17.42,10.9,25.85,25.2,90.83,1000.31,55.5,,
2022-07-06,16.0,openaq,2,,17.68,15.1,25.78,25.4,90.21,1001.64,35.6,,
2022-07-07,21.0,openaq,2,,19.1,15.0,26.2,25.7,89.0,1004.55,37.2,,
2022-07-08,25.9,openaq,3,,20.51,11.9,26.38,25.3,86.46,1004.04,25.0,,
2022-07-09,25.5,openaq,2,,18.26,9.7,25.58,24.5,90.21,1002.71,37.8,,
2022-07-10,15.4,openaq,2,,16.06,11.4,25.15,24.3,90.67,1003.71,52.5,,
2022-07-11,339.1,openaq,2,,17.97,9.0,24.79,23.2,91.92,1005.22,79.9,,
2022-07-12,500.6,openaq,2,,18.11,10.3,24.83,23.8,91.54,1004.75,65.0,,
2022-07-13,423.4,openaq,2,,23.4,15.0,25.2,24.4,90.42,1001.42,68.3,,
2022-07-14,21.7,openaq,1,,26.18,19.1,25.52,24.9,90.33,998.55,60.2,,
2022-07-15,20.6,openaq,3,,29.89,25.5,26.42,25.6,85.54,998.92,25.3,,
2022-07-16,22.0,openaq,3,,26.19,21.4,26.63,25.7,85.88,1000.22,24.8,,
2022-07-17,13.0,openaq,3,,18.65,13.0,26.97,25.7,84.96,1003.29,10.3,,
2022-07-18,17.0,openaq,3,,15.03,10.2,25.38,24.4,90.54,1004.4,30.3,,
2022-07-19,28.0,openaq,3,,14.54,8.2,25.48,24.3,89.88,1005.11,34.3,,
2022-07-20,14.0,openaq,3,,13.68,8.7,26.26,25.1,86.38,1005.85,13.4,,
2022-07-21,12.9,openaq,3,,12.75,4.1,26.48,25.1,84.38,1006.21,6.0,,
2022-07-22,18.5,openaq,3,,12.49,6.7,26.84,25.2,83.25,1006.74,4.8,,
2022-07-23,14.7,openaq,3,,14.17,7.9,25.82,24.8,88.04,1005.06,28.2,,
2022-07-24,11.0,openaq,2,,14.26,8.2,25.54,24.9,89.42,1004.27,25.8,,
2022-07-25,12.5,openaq,3,,13.48,9.3,26.37,24.9,85.62,1005.65,10.2,,
2022-07-27,23.4,openaq,3,,5.63,0.4,26.41,25.1,86.88,1007.37,6.5,,
2022-07-28,32.8,openaq,3,,7.15,1.3,27.0,24.5,86.08,1008.06,2.5,,
2022-07-29,23.0,openaq,3,,9.2,4.3,27.35,25.6,86.33,1007.57,1.1,,
2022-07-30,22.8,openaq,3,,9.36,4.5,27.5,26.1,83.67,1006.65,0.2,,
2022-07-31,24.3,openaq,3,,9.87,3.4,27.42,25.6,83.79,1005.16,2.0,,
2022-08-01,15.2,openaq,3,,10.16,2.6,27.26,25.9,83.21,1005.32,2.1,,
2022-08-02,18.9,openaq,3,,9.03,2.2,27.3,25.8,83.04,1004.33,2.8,,
2022-08-03,25.8,openaq,3,,7.57,2.5,27.19,25.6,84.88,1003.38,10.3,,
2022-08-04,26.0,cams,0,,5.17,0.7,27.07,25.4,86.83,1002.31,13.6,,
2022-08-05,16.7,cams,0,,7.72,2.8,26.15,25.6,90.25,1000.9,27.2,,
