date,pm25,source,n_sensors,fire_count,wind_speed_mean,wind_speed_min,temp_mean,temp_min,rh_mean,pressure_mean,precip_sum,blh_min,blh_mean
2022-07-22,19.0,openaq,1,,16.23,11.4,24.03,21.8,84.04,943.02,1.3,,
2022-08-04,9.1,cams,0,,5.12,1.5,24.75,22.0,87.62,939.55,18.6,,
2022-08-05,8.4,cams,0,,5.53,0.7,23.66,22.2,91.46,937.94,39.9,,
2022-08-06,8.1,cams,0,,9.36,6.6,23.9,21.9,89.29,936.84,13.0,,
2022-08-07,8.2,cams,0,,8.23,5.2,24.23,22.1,88.0,936.38,25.2,,
2022-08-08,5.8,cams,0,,7.25,0.8,23.9,22.2,89.33,935.09,12.8,,
2022-08-09,8.5,cams,0,,21.62,9.2,23.49,22.5,90.96,933.78,3.4,,
2022-08-10,5.8,cams,0,,23.81,19.4,23.21,22.3,91.54,933.12,9.1,,
2022-08-11,6.3,cams,0,,28.56,21.4,23.32,22.2,90.54,934.3,8.1,,
2022-08-12,5.8,cams,0,,27.69,22.2,22.99,21.8,91.21,937.46,8.4,,
2022-08-13,7.3,cams,0,,21.82,17.1,23.11,21.3,89.75,939.62,10.3,,
2022-08-14,8.4,cams,0,,22.48,17.8,23.32,22.0,87.92,941.23,5.9,,
2022-08-15,5.9,cams,0,,19.89,14.7,22.36,21.5,92.42,941.04,8.5,,
2022-08-16,5.7,cams,0,,24.78,20.7,22.38,21.6,93.42,939.97,16.8,,
2022-08-17,6.5,cams,0,,22.96,15.5,22.74,21.6,90.96,941.76,6.3,,
2022-08-18,8.3,cams,0,,20.63,14.0,23.05,21.5,90.0,942.4,4.8,,
2022-08-19,8.2,cams,0,,18.66,9.5,23.32,21.5,87.71,942.83,2.3,,
2022-08-20,8.2,cams,0,,17.88,8.9,23.72,21.8,86.04,942.62,1.7,,
2022-08-21,7.9,cams,0,,18.58,12.4,23.54,21.7,86.92,941.37,2.1,,
2022-08-22,8.0,cams,0,,19.82,13.1,22.74,21.9,91.54,939.87,2.9,,
2022-08-23,8.1,cams,0,,20.47,14.5,23.12,22.0,89.17,940.12,2.7,,
2022-08-24,7.6,cams,0,,17.38,11.6,23.02,21.6,88.83,942.96,3.2,,
2022-08-25,10.8,cams,0,,12.24,7.3,23.49,21.6,86.92,943.11,3.1,,
2022-08-26,12.7,cams,0,,10.38,5.0,23.7,21.1,83.75,943.23,2.8,,
2022-08-27,15.0,cams,0,,10.22,6.7,23.49,20.4,83.0,943.45,1.0,,
2022-08-28,15.2,cams,0,,8.65,5.4,23.67,20.3,81.08,943.22,1.0,,
2022-08-29,14.7,cams,0,,6.67,2.3,24.11,19.8,79.62,944.51,0.1,,
2022-08-30,21.3,cams,0,1.0,4.62,2.7,24.54,20.8,84.38,944.74,10.6,,
2022-08-31,27.2,cams,0,5.0,4.29,0.8,24.93,22.0,87.25,943.48,5.3,,
2022-09-01,23.4,cams,0,3.0,4.87,1.3,24.01,21.9,89.42,943.32,14.6,,
2022-09-02,17.4,cams,0,12.0,6.57,2.6,25.06,21.5,84.33,943.98,1.0,,
2022-09-03,26.6,cams,0,15.0,4.95,1.5,25.05,21.5,86.88,943.86,3.2,,
2022-09-04,11.7,cams,0,8.0,9.84,3.6,24.54,22.9,88.71,943.78,9.6,,
2022-09-05,9.8,cams,0,5.0,9.38,4.0,24.02,21.8,86.54,943.67,1.9,,
2022-09-06,13.3,cams,0,7.0,5.55,3.2,23.93,21.8,86.54,943.4,1.5,,
2022-09-07,20.3,cams,0,5.0,6.06,1.3,24.19,21.2,88.21,943.25,9.7,,
2022-09-08,27.1,cams,0,6.0,8.68,2.5,24.05,21.9,89.67,942.3,15.8,,
2022-09-09,20.5,cams,0,6.0,9.29,4.2,24.55,21.9,88.71,941.39,8.4,,
2022-09-10,17.0,cams,0,0.0,7.0,1.1,24.03,21.6,89.96,941.13,26.5,,
2022-09-11,12.7,cams,0,0.0,4.48,1.0,24.3,21.5,89.17,938.83,16.9,,
2022-09-12,9.8,cams,0,0.0,6.73,2.6,23.83,22.1,89.92,937.35,14.0,,
2022-09-13,6.8,cams,0,2.0,13.19,8.7,23.22,21.9,93.46,938.79,10.9,,
2022-09-14,4.9,cams,0,1.0,20.83,15.0,23.17,22.1,91.29,941.2,3.1,,
2022-09-15,5.6,cams,0,0.0,22.51,17.8,22.99,21.9,92.54,942.07,8.3,,
2022-09-16,4.6,cams,0,4.0,15.27,10.0,22.41,21.6,94.25,941.3,56.6,,
2022-09-17,8.6,cams,0,2.0,13.11,8.2,22.68,21.0,90.71,942.4,8.0,,
2022-09-18,9.0,cams,0,3.0,10.55,6.2,22.32,20.7,91.71,943.92,29.1,,
2022-09-19,12.9,cams,0,1.0,12.85,9.0,22.38,21.0,90.0,944.32,14.0,,
2022-09-20,12.9,cams,0,11.0,11.43,7.9,22.55,20.8,88.54,944.09,0.9,,
2022-09-21,13.3,cams,0,7.0,11.5,7.6,23.04,20.5,85.17,944.07,0.8,,
2022-09-22,15.2,cams,0,5.0,13.63,9.4,22.54,20.4,86.0,944.23,1.9,,
2022-09-23,40.7,openaq,1,2.0,16.0,11.5,22.59,20.3,83.75,944.39,0.9,,
2022-09-24,11.6,cams,0,15.0,11.82,6.1,22.99,20.5,86.29,943.96,2.0,,
2022-09-25,14.5,cams,0,13.0,8.06,4.0,23.1,20.3,84.29,944.04,0.8,,
2022-09-26,19.1,cams,0,6.0,5.67,3.3,22.61,20.0,89.38,945.66,1.5,,
2022-09-27,22.9,openaq,1,0.0,4.95,2.6,23.22,20.2,86.83,944.56,3.7,,
2022-09-28,19.0,cams,0,5.0,6.26,1.1,22.65,19.7,89.71,943.61,11.4,,
2022-09-29,25.2,cams,0,7.0,6.15,1.8,23.47,20.1,88.08,943.53,2.3,,
2022-09-30,30.9,openaq,1,14.0,6.45,2.3,23.74,19.9,85.71,944.12,1.4,,
2022-10-01,29.5,cams,0,15.0,7.97,4.6,23.73,20.5,86.83,944.51,1.7,,
2022-10-02,17.5,cams,0,6.0,7.46,5.0,23.32,20.1,85.25,944.89,2.3,,
2022-10-03,15.5,cams,0,18.0,7.92,5.0,23.35,20.1,82.5,945.31,0.1,,
2022-10-04,25.2,cams,0,9.0,8.42,5.3,23.96,20.7,83.29,945.32,0.3,,
2022-10-05,32.8,openaq,1,1.0,10.38,6.4,24.23,21.0,80.08,944.13,0.4,,
2022-10-06,21.1,cams,0,1.0,10.95,4.0,24.37,21.5,80.12,942.4,8.9,,
2022-10-07,9.9,cams,0,0.0,7.37,4.3,22.36,21.1,94.38,940.96,14.0,,
2022-10-08,11.8,cams,0,4.0,14.03,7.1,22.33,21.0,91.0,943.09,5.1,,
2022-10-09,15.7,cams,0,14.0,10.53,4.0,23.59,21.3,87.21,945.06,1.0,,
2022-10-10,23.0,cams,0,15.0,3.47,0.8,23.53,20.2,87.79,946.37,9.6,,
2022-10-11,23.6,openaq,1,0.0,4.38,0.4,23.69,20.9,88.83,945.33,5.6,,
2022-10-12,26.5,openaq,1,2.0,5.81,3.3,23.25,20.3,88.12,945.78,2.6,,
2022-10-13,36.6,openaq,1,5.0,8.88,3.8,23.97,20.4,82.75,946.25,1.2,,
2022-10-14,34.6,openaq,1,15.0,10.29,4.4,23.14,20.2,82.92,946.26,8.0,,
2022-10-15,26.9,openaq,1,9.0,11.75,7.4,22.73,19.0,67.71,945.52,0.0,,
2022-10-16,37.2,openaq,1,8.0,11.1,7.7,23.01,17.2,67.46,946.68,0.0,,
2022-10-17,16.3,cams,0,5.0,9.46,2.2,23.65,21.4,85.5,947.71,17.3,,
