date,pm25,source,n_sensors,fire_count,wind_speed_mean,wind_speed_min,temp_mean,temp_min,rh_mean,pressure_mean,precip_sum,blh_min,blh_mean
2022-07-04,14.9,openaq,1,,16.25,9.7,24.02,22.3,83.79,941.4,3.7,,
2022-07-05,13.6,openaq,1,,17.07,13.6,23.37,22.3,88.79,939.96,14.4,,
2022-07-06,10.1,openaq,2,,16.43,12.1,23.32,22.3,87.21,941.42,2.4,,
2022-07-07,5.8,openaq,2,,18.38,10.8,23.56,22.4,86.5,944.05,5.1,,
2022-07-08,212.0,openaq,1,,19.63,14.4,22.78,21.8,89.25,943.35,10.3,,
2022-07-09,1060.0,openaq,1,,18.65,15.6,22.02,21.0,90.67,941.81,18.4,,
2022-07-10,1060.0,openaq,1,,18.82,13.3,22.0,21.0,90.33,942.52,11.2,,
2022-07-11,1060.0,openaq,1,,20.14,15.8,21.5,20.9,92.33,943.75,31.2,,
2022-07-12,353.0,openaq,1,,21.87,14.8,22.11,21.0,90.33,943.23,28.6,,
2022-07-13,0.0,openaq,1,,22.09,18.4,21.88,21.0,91.58,940.22,29.1,,
2022-07-14,0.0,openaq,1,,22.82,18.5,22.6,21.4,90.12,937.79,27.9,,
2022-07-15,0.0,openaq,1,,23.04,16.7,23.48,22.3,86.29,938.91,18.3,,
2022-09-14,153.0,openaq,1,1.0,18.81,13.4,23.66,22.3,85.75,945.02,4.0,,
2022-09-15,13.5,openaq,1,0.0,21.27,14.8,23.61,22.0,84.67,946.12,4.5,,
2022-09-20,74.1,openaq,1,11.0,13.08,9.7,22.01,20.7,87.75,946.88,3.6,,
2022-09-21,44.3,openaq,1,7.0,12.23,8.7,22.38,20.1,86.21,946.86,4.2,,
2022-09-25,675.0,openaq,1,13.0,9.06,4.0,23.16,20.7,85.46,946.69,1.7,,
2022-09-26,968.0,openaq,1,6.0,7.98,2.9,22.79,20.4,87.08,948.19,2.2,,
2022-09-27,1050.0,openaq,1,0.0,7.86,4.2,22.87,19.7,85.42,947.13,1.7,,
2022-09-28,962.0,openaq,1,5.0,7.29,3.4,23.0,19.9,86.62,946.24,1.3,,
2022-09-29,1060.0,openaq,1,7.0,6.84,3.9,23.08,20.7,89.62,946.1,6.8,,
2022-09-30,38.1,cams,0,14.0,6.06,1.9,23.53,20.5,88.17,946.62,9.8,,
2022-10-01,39.4,cams,0,15.0,9.33,6.4,23.4,21.0,88.08,947.17,3.1,,
2022-10-02,33.2,cams,0,6.0,9.03,6.9,23.33,20.7,85.33,947.43,1.1,,
2022-10-03,30.3,cams,0,18.0,8.58,5.4,23.43,20.3,81.46,947.63,0.4,,
2022-10-04,33.2,cams,0,9.0,7.72,5.2,23.66,20.1,82.54,947.69,0.6,,
2022-10-05,34.3,cams,0,1.0,8.47,5.1,23.93,20.5,80.5,946.67,0.4,,
2022-10-06,26.0,cams,0,1.0,12.17,8.0,23.67,20.9,82.54,945.01,18.0,,
2022-10-07,8.5,cams,0,0.0,13.58,9.0,22.82,21.2,87.54,944.0,11.0,,
